Study	Link:	Publication Year:	Species:	Temperature:	Brain Location (In situ vs ex situ vs other):	Initial preservation:	General microscopy method:	Immunostaining primarily:	Visualization method specifics:	Brain Region:	Cell Type:	Time Point:	Structural Feature:	Additional outcome specifier, if any:	Decomposition outcome:	Pilot Round?	Pilot Grade:	Decomposition Grade - Grader 1:	Decomposition Grade - Grader 2:	Random choice for multiple grades from grader 2:	Decomposition Grade - Grader 3:	Consensus grade:
De Santis 2020	https://pubmed.ncbi.nlm.nih.gov/32463128/	2020	Rat	Not recorded	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for pCREB	Cerebral cortex	Multiple or no clear focus	24 hours	General cell membrane		"Moreover, in brain hemispheres fixed by immersion with a postmortem delay of 24-48 hours, pCREB immunoreactivity was scarce. In fact, scattered labeled neurons were limited to the superficial layers, whereas meningeal and glial cells were the most consistent findings (Figure 1D)." ... "Section from perfused animal (B) shows an intense pCREB ir in neuronal nuclei in all cortical layers, while sections from brain fixed by immersion immediately (C) and after 24 h from the sacrifice (D) highlight the dramatic reduction of ir and the appearance of labeled meningeal and glial cells" ... "Moreover, a progressive decrease of staining with residual labeled cells only in the superficial cortical layers and few scattered glial cells was observed when fixation (by immersion) was delayed at 24 and 48 hours after animal sacrifice." Also Figure 1C 	No	NA	3	1-2	2	NA	2
de Siquiera 2016	https://pubmed.ncbi.nlm.nih.gov/27020045/	2016	Rat	25°C (buried in soil)	In situ	Immersion fixation	Light microscopy	No	Morphologically stained with hematoxylin and eosin	Not recorded	Neuron	24 hours	General cell membrane		"Histopathological analysis of the brains of the exhumed animals that were experimentally exposed to aldicarb revealed congestion and hemorrhaging in the meninges and brain, maintenance of the integrities of red blood cells and neurons, and discrete tissue autolysis within 24 h post-mortem. At 3 days post-mortem, autolysis and neuronal degeneration were present."	No	NA	1	2	2	NA	2
de Wolf 2020	https://pubmed.ncbi.nlm.nih.gov/31631775/	2020	Rat 	37°C	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Frontal cortex 	Multiple or no clear focus	13.5 hours	General cell membrane 	Higher storage temperature	"Some images looked better than the 9.0-hour images" ... "Cytoplasm has large vacuoles and appearance of empty ‘‘ghost’’ structures"	No	NA	2	1	1	NA	1
de Wolf 2020	https://pubmed.ncbi.nlm.nih.gov/31631775/	2020	Rat 	37°C	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Frontal cortex 	Multiple or no clear focus	21 hours	General cell membrane	Higher storage temperature	"There was progressive damage to membranes" ... "The damage to cell membranes increased with ischemic duration. Pronounced loss of structure only appeared to be present in the 36- and 81-hour normothermic ischemia images." [Implying that pronounced loss of structure was not present at 21 hours.]	No	NA	2	1	1	NA	1
de Wolf 2020	https://pubmed.ncbi.nlm.nih.gov/31631775/	2020	Rat 	37°C	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Frontal cortex 	Multiple or no clear focus	81 hours	General cell membrane	Higher storage temperature	"Intensified osmiophilia, membrane rupture, decomposition of organelles, and large edematous areas." ... "Fragments of cell membranes remained recognizable. There was extensive lysis of mitochondria and leaking of internal structure... Many areas appeared flooded and lacked recognizable structure." ... "Near-complete disintegration of structure appeared to occur after several days at normothermic temperatures but took several months at 0°C."	No	NA	3	3	3	NA	3
de Wolf 2020	https://pubmed.ncbi.nlm.nih.gov/31631775/	2020	Rat 	37°C	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Frontal cortex 	Neuron	3.86 hours	Synapse	Higher storage temperature	"Synapses were still identified"	No	NA	0	0	0	NA	0
de Wolf 2020	https://pubmed.ncbi.nlm.nih.gov/31631775/	2020	Rat 	37°C	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Frontal cortex 	Neuron	6 hours	Synapse	Higher storage temperature	This is listed as the time point of "synapse degradation" in Table 2. 	No	NA	1	1	1	NA	1
de Wolf 2020	https://pubmed.ncbi.nlm.nih.gov/31631775/	2020	Rat 	37°C	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Frontal cortex 	Neuron	13.5 hours	Synapse	Higher storage temperature	This is listed as the time point distinguishing the end of "Clear distinction between pre and postsynaptic structures replaced by dark, blurry, synaptic clefts (normothermic ischemia)" in Figure 4. 	No	NA	2	1	1	NA	1
de Wolf 2020	https://pubmed.ncbi.nlm.nih.gov/31631775/	2020	Rat 	37°C	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Frontal cortex 	Neuron	21 hours	Synapse	Higher storage temperature	"The increase of dispersed electron-dense areas made it more difficult to distinguish between synaptic and nonsynaptic adjacent structures."	No	NA	3	2	2	NA	2
de Wolf 2020	https://pubmed.ncbi.nlm.nih.gov/31631775/	2020	Rat 	37°C	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Frontal cortex 	Oligodendrocyte	3.86 hours	Myelin	Higher storage temperature	"Some thinning of the myelin sheaths was seen."	No	NA	1	1	1	NA	1
de Wolf 2020	https://pubmed.ncbi.nlm.nih.gov/31631775/	2020	Rat 	37°C	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Frontal cortex 	Oligodendrocyte	13.5 hours	Myelin	Higher storage temperature	"Myelin sheaths remained recognizable in general, but some were thinner and unraveled." ... "Unraveling of myelin sheaths". Also Figure S7. 	No	NA	1	1-2	2	NA	1
de Wolf 2020	https://pubmed.ncbi.nlm.nih.gov/31631775/	2020	Rat 	37°C	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Frontal cortex 	Oligodendrocyte	21 hours	Myelin	Higher storage temperature	"An increasing number of myelin sheaths lacked definition and some had exterior damage."	No	NA	2	2	2	NA	2
de Wolf 2020	https://pubmed.ncbi.nlm.nih.gov/31631775/	2020	Rat 	37°C	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Frontal cortex 	Oligodendrocyte	81 hours	Myelin	Higher storage temperature	"Myelin sheaths were in advanced states of unraveling" ... "unwinding of myelin sheaths."	No	NA	3	3	3	NA	3
de Wolf 2020	https://pubmed.ncbi.nlm.nih.gov/31631775/	2020	Rat 	0°C	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Frontal cortex 	Multiple or no clear focus	72 hours	General cell membrane	Lower storage temperature	"Increased cytoplasm fragmentation with vacuoles, pale nuclei, and organelles." Also Figure S13. 	No	NA	1	1	1	NA	1
de Wolf 2020	https://pubmed.ncbi.nlm.nih.gov/31631775/	2020	Rat 	0°C	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Frontal cortex 	Multiple or no clear focus	1460 hours	General cell membrane	Lower storage temperature	Time point listed as "Advanced Necrosis" in Table 2... "General loss of structure, membrane, and myelin decomposition." ... "Structural integrity of mitochondria, myelinated axons, and cell nucleus was variable with some mostly intact and others in advanced states of disintegration. The variation was such that some 2-month images showed more structure than the 1-month images."	No	NA	3	3	3	NA	3
de Wolf 2020	https://pubmed.ncbi.nlm.nih.gov/31631775/	2020	Rat 	0°C	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Frontal cortex 	Neuron	24 hours	Synapse	Lower storage temperature	"Organelles, nuclei, nucleoli, axons, and synapses were still recognized without difficulty."	No	NA	1	0	0	NA	0
de Wolf 2020	https://pubmed.ncbi.nlm.nih.gov/31631775/	2020	Rat 	0°C	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Frontal cortex 	Neuron	48 hours	Synapse	Lower storage temperature	"Synapses and axons remained visible."	No	NA	1	0	0	NA	0
de Wolf 2020	https://pubmed.ncbi.nlm.nih.gov/31631775/	2020	Rat 	0°C	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Frontal cortex 	Neuron	168 hours	Synapse	Lower storage temperature	"Synapses were difficult to detect." Time point of "Synapse Degradation" in Table 2. 	No	NA	3	2	2	NA	2
de Wolf 2020	https://pubmed.ncbi.nlm.nih.gov/31631775/	2020	Rat 	0°C	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Frontal cortex 	Oligodendrocyte	168 hours	Myelin	Lower storage temperature	"In many of the images, the myelin sheaths were dark and well defined."	No	NA	1	0	0	NA	0
de Wolf 2020	https://pubmed.ncbi.nlm.nih.gov/31631775/	2020	Rat 	0°C	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Frontal cortex 	Oligodendrocyte	336 hours	Myelin	Lower storage temperature	"Washed out myelin sheaths and extensive edema around capillaries were observed." Time point of "Myelin Fragmentation" in Table 2. 	No	NA	2	2	2	NA	2
de Wolf 2020	https://pubmed.ncbi.nlm.nih.gov/31631775/	2020	Rat 	0°C	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Frontal cortex 	Oligodendrocyte	730 hours	Myelin	Lower storage temperature	"There was a sharp decrease in recognizable myelin sheaths."	No	NA	3	3	3	NA	3
de Wolf 2020 	https://pubmed.ncbi.nlm.nih.gov/31631775/	2020	Rat 	37°C	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Frontal cortex 	Multiple or no clear focus	6 hours	General cell membrane 	Higher storage temperature	"General membrane damage started to appear"	No	NA	1	0	0	NA	0
de Wolf 2020 	https://pubmed.ncbi.nlm.nih.gov/31631775/	2020	Rat 	37°C	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Frontal cortex 	Multiple or no clear focus	9 hours	General cell membrane 	Higher storage temperature	"Membrane damage became more pronounced" ... "Cytoplasm has large vacuoles and appearance of empty ‘‘ghost’’ structures"	No	NA	2	1	1	NA	1
Dixon 1964	https://pubmed.ncbi.nlm.nih.gov/14191002/	1964	Rabbit	36.5°C	In situ	Immersion fixation	Light microscopy	No	Multiple complex methods of rolling, fixation, and staining	Cerebellar vermis	Multiple or no clear focus	5 hours	Myelinated axon		"Well preserved myelinated nerve fibres are visible in rolled films of cerebellum. Incubation up to 5 hrs post mortem causes no detectable disintegration in the structure of the fibres. In fact, films of incubated cerebellum stained by ES provide clearer preparations for the demonstration of nerve fibres than similar films from fresh tissue."	No	NA	0	0	0	NA	0
Dixon 1964	https://pubmed.ncbi.nlm.nih.gov/14191002/	1964	Rabbit	36.5°C	In situ	Immersion fixation	Light microscopy	No	Multiple complex methods of rolling, fixation, and staining	Cerebellar vermis	Purkinje cell	5 hours	General cell membrane		Intact contour of Purkinje cells, which is easier to visualize in the postmortem tissue, potentially due to softening of the cell. "Films from incubated dead animals stained by ES-PFM differ from similarly stained fresh films in their constant content of well defined Purkinje cells. Fig. 3 d shows a sharply contoured Purkinje cell with a prominent apical dendrite in a film from the cerebellum of a rabbit kept at 37~ for 5 hrs after death." ... "The spectacular appearance of sharply defined Purkinje cells in the films strikingly differentiates dying cerebellum from the fresh tissue."	No	NA	0	0	0	NA	0
Eggan 2007	https://pubmed.ncbi.nlm.nih.gov/16467563/	2007	Macaque monkey	0°C	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for CB1	Neocortex	Neuron	24 hours	Axon		"High-power, brightfield photomicrographs of CB1-IR axons in layer 5 of monkey (A, B) and human (C) prefrontal cortex area 46 demonstrating the effect of PMI on axon morphology. (A) In a perfused monkey with no PMI, CB1-IR boutons are relatively small, and the axons have distinct intervaricose axon segments. (B) In a nonperfused monkey after a 24-h PMI, boutons appear larger and intervaricose axon segments less well defined." ... "These morphological differences appeared to reflect a postmortem effect. In unperfused monkey tissue with different postmortem delays before fixation, the intervaricose segments of CB1-IR axons became less distinct and boutons became more swollen with longer delays". Also Figure 13. 	No	NA	1	1	1	NA	1
Finnie 2016	https://pubmed.ncbi.nlm.nih.gov/27156898/	2016	Mouse	23°C	In situ	Immersion fixation	Light microscopy	No	Morphologically stained with hematoxylin and eosin; immunostaining for NFP, GFAP, and IBA1	Cerebellar cortex	Purkinje cell 	16 hours	General cell membrane		"Purkinje cells resemble those in brains fixed immediately after death."	No	NA	0	0	0	NA	0
